obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
157, 160.0, 37557, 36684, 32003, 5983, 6549, 17439, 1585, 1508, 27, 44, NA, 139308,  X*
158, 161.0, 22472, 61444, 4756, 9038, 3871, 13788, 2561, 1542, 38, 35, NA, 119472,  X*
159, 162.0, 23243, 66445, 26189, 10085, 7789, 12815, 1441, 2290, 41, 35, NA, 150297,  X*
160, 163.0, 69119, 45201, 17956, 17900, 3874, 11698, 3707, 848, 50, 41, NA, 170303,  X*
161, 164.0, 61462, 58546, 18850, 12337, 32668, 22436, 4996, 550, 51, 35, NA, 211845,  X*
162, 165.0, 67522, 8197, 9101, 8079, 974, 2223, 485, 188, 44, 53, NA, 96769,  X*
163, 166.0, 18462, 37844, 6425, 12888, 6435, 2494, 3544, 1823, 35, 53, NA, 89915,  X*
164, 167.0, 7582, 117442, 12650, 12692, 10245, 3019, 1378, 873, 14, 43, NA, 165881,  X*
165, 168.0, 45626, 107631, 3988, 8533, 14115, 6716, 1054, 1752, 1, 34, NA, 189415,  X*
166, 169.0, 47016, 65672, 12147, 6779, 9906, 10653, 2964, 1642, 4, 16, NA, 156779,  X*
167, 170.0, 77755, 51147, 47362, 19862, 12714, 17880, 1591, 2682, 16, 23, NA, 230993,  X*
168, 171.0, 22612, 96279, 5876, 11663, 8209, 4084, 1479, 1167, 21, 21, NA, 151369,  X*
169, 172.0, 73381, 60909, 10838, 20210, 5195, 9381, 3107, 3116, 27, 35, NA, 186137,  X*
170, 174.0, 46265, 21400, 13700, 2371, 17910, 3281, 1583, 874, 23, 40, NA, 107384,  X*
171, 175.0, 56364, 51821, 15514, 15845, 16240, 5381, 1835, 964, 14, 34, NA, 163964,  X*
172, 176.0, 199398, 122021, 31882, 33383, 10298, 11243, 3391, 1062, 20, 43, NA, 412678,  X*
173, 177.0, 9477, 42265, 13810, 10790, 10166, 18635, 2433, 1890, 27, 41, NA, 109466,  X*
174, 178.0, 82072, 22926, 14626, 1797, 1324, 1250, 316, 195, 20, 47, NA, 124506,  X*
175, 179.0, 6049, 27170, 11724, 10217, 3911, 7014, 2077, 1210, 27, 48, NA, 69372,  X*
176, 180.0, 85414, 15653, 703, 6921, 2512, 2906, 515, 280, 35, 47, NA, 114904,  X*
177, 181.0, 91922, 18185, 7607, 3739, 3231, 2060, 409, 636, 23, 50, NA, 127789,  X
178, 182.0, 84585, 28164, 15286, 7997, 7883, 3178, 1600, 1783, 29, 48, NA, 150476,  X
179, 183.0, 70245, 88606, 6527, 12646, 15307, 21762, 5310, 1728, 30, 37, NA, 222131,  X
180, 184.0, 196756, 635099, 399829, 188462, 115054, 31731, 60029, 39016, 16, 43, NA, 1665976,  X
181, 185.0, 522948, 53271, 5354, 15888, 16952, 5324, 4420, 1385, 16, 38, NA, 625542,  X
182, 186.0, 1234688, 70590, 20364, 15102, 4424, 4625, 868, 998, 13, 37, NA, 1351659,  X
183, 187.0, 72179, 37859, 7625, 19775, 2668, 4023, 2746, 503, 3, 48, NA, 147378,  X
184, 188.0, 45306, 37908, 11200, 5788, 6864, 4829, 1904, 1408, 14, 41, NA, 115207,  X
185, 189.0, 50729, 28499, 30869, 2484, 6086, 18612, 4127, 5048, 27, 50, NA, 146454,  X
186, 190.0, 26243, 52932, 25411, 4813, 13485, 16670, 15470, 6770, 43, 48, NA, 161794,  X
187, 191.0, 10926, 11494, 4610, 15386, 8358, 8509, 14830, 5564, 56, 48, NA, 79677,  X
188, 192.0, 148787, 113212, 39247, 5827, 31893, 6851, 9665, 7003, 50, 47, NA, 362485,  X
189, 193.0, 14619, 55029, 39805, 10465, 5135, 10041, 3829, 2811, 40, 47, NA, 141734,  X
190, 194.0, 18570, 25198, 7586, 13787, 2805, 10474, 6304, 3286, 40, 50, NA, 88010,  X
191, 195.0, 10472, 25251, 7569, 10312, 9298, 5640, 7919, 3660, 34, 48, NA, 80121,  X
192, 196.0, 131610, 20953, 8216, 4636, 2921, 2700, 3776, 863, 38, 53, NA, 175675,  X
193, 197.0, 7996, 17554, 1610, 1290, 11163, 10316, 8092, 3586, 54, 34, NA, 61607,  X
194, 198.0, 124069, 51638, 5210, 2574, 5448, 5993, 1662, 474, 47, 20, NA, 197068,  X
195, 199.0, 757347, 296712, 146644, 87825, 65295, 37908, 67423, 52463, 40, 23, NA, 1511617,  X
196, 200.0, 1073980, 262672, 86898, 29744, 25218, 39458, 45878, 17877, 43, 20, NA, 1581725,  X
197, 201.0, 2137601, 1547883, 75185, 271269, 246428, 167916, 288982, 52773, 26, 27, NA, 4788037,  X
198, 202.0, 1346698, 245985, 16634, 84460, 31070, 18847, 33984, 5563, 21, 37, NA, 1783241,  X
199, 203.0, 857749, 143231, 35265, 50289, 20866, 26210, 38858, 10034, 26, 35, NA, 1182502,  X
