obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
163, 167.9, 57141, 150487, 18158, 18721, 22365, 36186, 7137, 4786, 38, 56, NA, 314981,  X*
164, 168.9, 466508, 34469, 30070, 3158, 11871, 19387, 20399, 7844, 53, 47, NA, 593706,  X*
165, 169.9, 70286, 32203, 46237, 57587, 31260, 12723, 12185, 7523, 48, 54, NA, 270004,  X*
166, 170.9, 38574, 51613, 12250, 47594, 15062, 17080, 3476, 3580, 44, 60, NA, 189229,  X*
167, 171.9, 567957, 59705, 41111, 49735, 16365, 31710, 6133, 1633, 47, 74, NA, 774349,  X*
168, 172.9, 75724, 66565, 10863, 49817, 16122, 15812, 14917, 4807, 35, 75, NA, 254627,  X*
169, 173.9, 946595, 42114, 26645, 5660, 16633, 57656, 13706, 2822, 64, 60, NA, 1111831,  X*
170, 175.0, 1420150, 78879, 11694, 57116, 23193, 21285, 8230, 5143, 61, 56, NA, 1625690,  X*
171, 175.9, 1854787, 57956, 24718, 63367, 5389, 14915, 10854, 5413, 53, 60, NA, 2037399,  X*
172, 177.9, 408527, 81411, 5865, 6378, 5863, 7957, 4796, 646, 48, 43, NA, 521443,  X*
173, 178.9, 804498, 24914, 10979, 9900, 3588, 2614, 1348, 623, 13, 53, NA, 858464,  X*
174, 179.9, 211206, 15249, 24462, 4251, 5107, 7685, 2941, 711, 17, 60, NA, 271612,  X*
175, 180.9, 105710, 131714, 6572, 14167, 17003, 5730, 1909, 512, 4, 38, NA, 283317,  X
176, 181.9, 456011, 73417, 11177, 3301, 39836, 21779, 6404, 3330, 17, 37, NA, 615255,  X
177, 182.9, 15053, 111696, 21632, 27471, 17818, 55020, 7505, 6052, 43, 26, NA, 262247,  X
178, 183.9, 1469877, 187253, 89103, 50787, 5695, 22061, 6104, 10184, 29, 21, NA, 1841064,  X
179, 184.9, 47022, 55868, 56519, 27036, 26366, 11490, 7404, 7576, 40, 41, NA, 239281,  X
180, 185.9, 232225, 38063, 3107, 15601, 6186, 4790, 1954, 1542, 24, 54, NA, 303468,  X
181, 186.9, 242952, 146500, 23482, 37681, 28395, 38118, 7693, 6683, 16, 56, NA, 531504,  X
182, 187.9, 181626, 18659, 8510, 10509, 4185, 2575, 2877, 1304, 16, 57, NA, 230245,  X
183, 188.9, 192813, 74154, 13552, 35416, 13848, 24110, 14177, 4356, 27, 50, NA, 372426,  X
184, 189.9, 157794, 69807, 29501, 69263, 19455, 23317, 9207, 6720, 34, 57, NA, 385064,  X
185, 191.0, 215434, 144388, 9365, 93912, 17918, 26021, 6307, 11299, 24, 64, NA, 524644,  X
186, 191.9, 120928, 27684, 75333, 26853, 6087, 27658, 10169, 2796, 40, 74, NA, 297508,  X
187, 192.9, 246466, 102765, 54431, 58806, 26042, 46826, 13231, 3090, 41, 77, NA, 551657,  X
188, 193.9, 55540, 76902, 23855, 35600, 10251, 25437, 7747, 4450, 44, 70, NA, 239782,  X
189, 194.9, 854819, 52753, 8929, 32388, 13660, 18548, 7055, 4903, 54, 70, NA, 993055,  X
190, 195.9, 93863, 16083, 13599, 3770, 4218, 3777, 3511, 1165, 47, 63, NA, 139986,  X
191, 196.9, 112652, 139472, 19263, 22540, 11159, 29855, 16930, 1453, 43, 53, NA, 353324,  X
192, 197.9, 24984, 92297, 28673, 68445, 23005, 50449, 9302, 1158, 48, 53, NA, 298313,  X
193, 198.9, 632225, 144440, 6871, 91768, 27927, 12590, 21367, 3341, 29, 53, NA, 940529,  X
194, 199.9, 478855, 81689, 35945, 15181, 25200, 27320, 5697, 1600, 38, 47, NA, 671487,  X
195, 200.9, 817367, 48405, 6155, 43396, 28679, 11982, 4788, 5188, 35, 54, NA, 965960,  X
196, 201.9, 107165, 26220, 17209, 26102, 18498, 54788, 13825, 5575, 48, 53, NA, 269382,  X
197, 202.9, 534194, 113925, 38652, 37633, 30064, 13906, 13598, 4203, 53, 51, NA, 786175,  X
198, 203.9, 64234, 79211, 17579, 80598, 8535, 10419, 20145, 2855, 38, 63, NA, 283576,  X
199, 204.9, 273927, 126213, 21483, 25084, 35401, 42907, 7895, 4624, 48, 53, NA, 537534,  X
200, 205.9, 1292091, 51086, 19531, 34433, 13607, 19944, 7684, 4549, 27, 56, NA, 1442925,  X
201, 207.0, 2444922, 76025, 16607, 37367, 16181, 12929, 9464, 5950, 30, 57, NA, 2619445,  X
202, 207.9, 14144, 29633, 24484, 43122, 21093, 31426, 14620, 3173, 54, 56, NA, 181695,  X
203, 208.9, 106697, 32583, 29810, 6327, 3974, 4420, 2064, 923, 37, 69, NA, 186798,  X
204, 209.9, 72327, 58723, 121759, 14821, 10992, 17524, 19914, 6396, 27, 78, NA, 322456,  X
205, 210.9, 299997, 17368, 16714, 53181, 13993, 18821, 12757, 2759, 40, 88, NA, 435590,  X
206, 211.9, 75360, 15102, 13344, 12677, 3654, 3677, 1036, 1310, 20, 91, NA, 126160,  X
207, 212.9, 87375, 47589, 11631, 12806, 20662, 30598, 11135, 2868, 47, 80, NA, 224664,  X
208, 214.0, 677620, 25254, 13388, 3441, 3718, 4427, 1086, 1276, 47, 66, NA, 730210,  X
209, 214.9, 14865, 15492, 13228, 79076, 6790, 17264, 10552, 2633, 43, 70, NA, 159900,  X
210, 215.9, 171214, 15139, 4507, 8830, 3776, 6717, 2070, 895, 56, 64, NA, 213148,  X
211, 216.9, 127651, 73507, 36039, 78628, 12438, 15910, 7194, 3125, 37, 80, NA, 354492,  X
212, 217.9, 1288926, 65542, 102138, 25740, 26258, 46149, 8617, 2873, 48, 84, NA, 1566243,  X
213, 218.9, 138058, 66487, 17403, 86066, 26762, 19958, 8743, 8912, 43, 77, NA, 372389,  X
214, 219.9, 179659, 13643, 7582, 13963, 4282, 2646, 3284, 741, 26, 81, NA, 225800,  X
215, 220.9, 477894, 96803, 31492, 114592, 21014, 29365, 6943, 1877, 30, 81, NA, 779980,  X
216, 221.9, 283071, 124262, 115421, 79794, 8831, 53868, 18442, 3412, 26, 81, NA, 687101,  X
217, 223.0, 1364119, 52279, 11948, 111889, 11316, 11643, 16371, 3835, 20, 88, NA, 1583400,  X
218, 223.9, 160057, 54900, 10758, 10624, 10477, 3656, 1991, 785, 13, 77, NA, 253248,  X
219, 224.9, 82643, 48817, 56788, 92701, 26527, 66797, 5584, 4009, 27, 77, NA, 383866,  X
220, 225.9, 142708, 74766, 62642, 14520, 5560, 15006, 9422, 8440, 20, 75, NA, 333064,  X
221, 226.9, 174593, 14468, 1804, 11687, 7655, 4642, 1880, 909, 34, 63, NA, 217638,  X
222, 227.9, 200663, 39179, 6951, 8791, 8839, 4420, 1116, 3135, 40, 63, NA, 273094,  X
223, 228.9, 36791, 88300, 13624, 67161, 24569, 18319, 10292, 4606, 23, 56, NA, 263662,  X
224, 230.0, 93168, 57447, 78588, 7788, 33938, 21152, 8206, 7390, 29, 56, NA, 307677,  X
225, 230.9, 81869, 111526, 16849, 27219, 22575, 32857, 8850, 1789, 34, 50, NA, 303534,  X
226, 231.9, 102505, 28090, 1898, 37382, 1457, 5026, 1947, 212, 29, 61, NA, 178517,  X
227, 232.9, 109989, 16049, 4237, 2904, 7900, 6032, 1969, 1069, 41, 53, NA, 150149,  X
228, 233.9, 380965, 44991, 2629, 9701, 3257, 4982, 2477, 1598, 35, 41, NA, 450600,  X
229, 234.9, 654447, 186928, 35364, 65461, 38862, 42822, 15841, 2244, 27, 44, NA, 1041969,  X
230, 235.9, 84860, 27650, 7920, 9075, 4166, 3863, 2701, 611, 34, 37, NA, 140846,  X
231, 236.9, 312454, 100536, 2952, 46442, 21070, 28216, 6558, 4130, 27, 40, NA, 522358,  X
232, 237.9, 72936, 16607, 13688, 38591, 12002, 10960, 7051, 3718, 37, 56, NA, 175553,  X
233, 239.0, 115765, 29504, 7216, 7167, 2665, 5665, 1636, 2038, 35, 57, NA, 171656,  X
234, 239.9, 1542640, 134360, 23058, 44682, 9854, 14149, 17033, 2809, 29, 56, NA, 1788585,  X
235, 240.9, 107174, 139337, 35363, 81685, 34346, 17412, 8526, 5081, 16, 64, NA, 428924,  X
236, 241.9, 156652, 29970, 8175, 9345, 3589, 8581, 1713, 714, 20, 53, NA, 218739,  X
237, 242.9, 437081, 66702, 26248, 22063, 26415, 24789, 13870, 5105, 26, 53, NA, 622273,  X
238, 243.9, 478469, 44799, 100395, 41990, 14881, 24254, 5265, 6321, 35, 66, NA, 716374,  X
239, 244.9, 120203, 26764, 3127, 17385, 3620, 2828, 2692, 1352, 34, 64, NA, 177971,  X
